         6.5x7.0                  (65x70.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        24.1        0.78      0.7543      0.0958      0.0996       0.012       0.147       0.136       8.669       0.017       0.606       7.125        0.13      22289.  
        25.6        0.83      0.7674      0.0886      0.0959       0.011       0.141       0.126       8.341       0.016       0.560       6.846        0.13      22424.  
        27.0        0.88      0.7779      0.0812      0.0915       0.011       0.135       0.115       7.962       0.015       0.513       6.574        0.13      22565.  
        28.4        0.92      0.7862      0.0736      0.0865       0.010       0.127       0.105       7.523       0.014       0.466       6.312        0.13      22713.  
        29.8        0.97      0.7919      0.0660      0.0807       0.009       0.119       0.094       7.025       0.013       0.417       6.055        0.13      22867.  
        31.3        1.02      0.7939      0.0582      0.0744       0.009       0.109       0.083       6.472       0.012       0.368       5.794        0.14      23028.  
        32.7        1.06      0.7910      0.0502      0.0674       0.008       0.099       0.071       5.863       0.011       0.318       5.522        0.14      23195.  
        34.1        1.11      0.7806      0.0421      0.0598       0.007       0.088       0.060       5.204       0.010       0.267       5.222        0.14      23368.  
        35.5        1.15      0.7584      0.0339      0.0516       0.006       0.076       0.048       4.494       0.009       0.215       4.871        0.14      23547.  
        36.9        1.20      0.7159      0.0256      0.0429       0.005       0.063       0.036       3.732       0.007       0.162       4.422        0.14      23732.  
        38.4        1.25      0.6348      0.0171      0.0336       0.004       0.049       0.024       2.924       0.006       0.108       3.775        0.14      23923.  
        39.8        1.29      0.4653      0.0086      0.0238       0.003       0.035       0.012       2.073       0.004       0.054       2.668        0.14      24120.  
        41.2        1.34     -0.0001      0.0000      0.0139       0.002       0.020       0.000       1.207       0.002       0.000      -0.001        0.14      24322.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1103      0.0636       0.013       0.135       0.226       9.555       0.015       1.004      10.716        0.15      25377.  
         1.7        0.05      0.0781      0.1104      0.0652       0.013       0.138       0.226       9.809       0.016       1.005      10.448        0.15      25382.  
         3.4        0.09      0.1521      0.1105      0.0671       0.014       0.142       0.226      10.085       0.016       1.006      10.175        0.15      25397.  
         5.1        0.14      0.2219      0.1107      0.0691       0.014       0.146       0.227      10.382       0.017       1.008       9.900        0.15      25421.  
         6.8        0.18      0.2876      0.1109      0.0712       0.014       0.151       0.227      10.699       0.017       1.010       9.624        0.15      25455.  
         8.5        0.23      0.3493      0.1111      0.0734       0.015       0.155       0.227      11.035       0.018       1.012       9.349        0.16      25498.  
        10.2        0.28      0.4068      0.1113      0.0758       0.015       0.160       0.228      11.392       0.018       1.014       9.074        0.16      25552.  
        11.9        0.32      0.4602      0.1116      0.0783       0.016       0.166       0.228      11.774       0.019       1.016       8.799        0.16      25614.  
        13.6        0.37      0.5091      0.1118      0.0811       0.016       0.172       0.229      12.189       0.019       1.018       8.516        0.16      25687.  
        15.3        0.42      0.5529      0.1120      0.0841       0.017       0.178       0.229      12.646       0.020       1.020       8.222        0.16      25768.  
        17.0        0.46      0.5919      0.1121      0.0874       0.018       0.185       0.229      13.139       0.021       1.021       7.922        0.16      25859.  
        18.7        0.51      0.6259      0.1121      0.0909       0.018       0.192       0.229      13.664       0.022       1.020       7.616        0.16      25959.  
        20.5        0.55      0.6550      0.1118      0.0945       0.019       0.200       0.229      14.211       0.023       1.018       7.306        0.16      26068.  
        22.2        0.60      0.6793      0.1111      0.0981       0.020       0.208       0.227      14.748       0.023       1.011       6.993        0.16      26187.  
        23.9        0.65      0.7013      0.1095      0.1009       0.020       0.214       0.224      15.165       0.024       0.997       6.705        0.16      26314.  
        25.6        0.69      0.7210      0.1068      0.1025       0.021       0.217       0.219      15.410       0.025       0.972       6.433        0.16      26449.  
        27.3        0.74      0.7383      0.1025      0.1025       0.021       0.217       0.210      15.406       0.025       0.933       6.175        0.16      26594.  
        29.0        0.78      0.7539      0.0960      0.0999       0.020       0.212       0.196      15.016       0.024       0.874       5.935        0.16      26747.  
        30.7        0.83      0.7672      0.0888      0.0961       0.019       0.203       0.182      14.446       0.023       0.808       5.704        0.16      26908.  
